MAP50106442	935_131101
SAMN04901077	SRR3438667
0_UMARY-1135_UMARY-1135	SRR5589089
SAMN04901085	SRR3438675
SAMN04901086	SRR3438676
2014-2195	2014-2195
SAMN04901083	SRR3438673
2014-2194	2014-2194
SAMN04901081	SRR3438671
UMB5079	UMB5079_ba9
SAMN04901080	SRR3438670
2014-2197	2014-2197
SAMN04901089	SRR3438679
2014-2196	2014-2196
2014-2199	2014-2199
SAMN04901087	SRR3438677
2014-2198	2014-2198
SAMN04901088	SRR3438678
Br1139	CMC_HBCC_RNA_PFC_3008
0_UMARY-630_UMARY-630	SRR5605727
1919	1919_TCX
Br1113	Br1113_R3970
0_UMARY-1672_UMARY-1672	SRR5589184
0_PITT_1792	PITT_RNA_PFC_1792
Br1109	Br1109_R3766
0_UMARY_1935	SRR5589234
AN03632	AN03632_BA7
0_UMARY-1823_UMARY-1823	SRR5589199
1929	1929_TCX
1926	1926_TCX
1924	1924_TCX
0_Pitt_BP_1573	PITT_RNA_BP_PFC_1573
1932	1932_TCX
1931	1931_TCX
UMB4590	UMB4590_ba41_42_22
SAMEA1322589	ERR103429
SAMEA1322586	ERR103438
SAMEA1322584	ERR103427
1937	1937_TCX
1936	1936_TCX
1935	1935_TCX
1933	1933_TCX
SAMEA1322590	ERR103435
Br2416	Br2416_R5817
0_Pitt_BP_1584	PITT_RNA_BP_PFC_1584
Br2415	Br2415_R5815
Br2410	Br2410_R5807
0_Pitt_BP_1589	PITT_RNA_BP_PFC_1589
1943	1943_TCX
1942	1942_TCX
1941	1941_TCX
1940	1940_TCX
SAMEA1322599	ERR103426
SAMEA1322596	ERR103423
0_UMARY-4724_UMARY-4724	SRR5589271
SAMEA1322594	ERR103428
SAMEA1322592	ERR103431
1945	1945_TCX
SAMEA1322591	ERR103436
1944	1944_TCX
GTEX-131YS	SRR1337098
SAMN03651549	SRR2015735
Br2409	Br2409_R5805
Br2402	Br2402_R5795
SAMN03651541	SRR2015727
SAMN03651543	SRR2015729
0_Pitt_BP_1598	PITT_RNA_BP_PFC_1598
1952	1952_TCX
1951	1951_TCX
GTEX-131XW	SRR1314958
1956	1956_TCX
1955	1955_TCX
SAMN03651550	SRR2015736
CGND-HDA-00550-b38	HRA_00612
SAMN03651551	SRR2015737
SAMN03651553	SRR2015739
1964	1964_TCX
1963	1963_TCX
1960	1960_TCX
0_SH-03-17_SH-03-17	SRR5588892
0_MIAMI-2852_MIAMI-2852	SRR5605668
CGND-HDA-01317-b38	HRA_00351
0_UMARY-5117_UMARY-5117	SRR5589322
MAP46246604	605_120523
CGND-HDA-00590-b38	HRA_00209
0_Pitt_BP_1537	PITT_RNA_BP_PFC_1537
GTEX-13SLW	SRR1356444
GTEX-11DXY	SRR1373858
CGND-HDA-00549-b38	HRA_00539
Br1197	R2799
Br1189	Br1189_R4012
0_Pitt_BP_1565	PITT_RNA_BP_PFC_1565
Br1183	Br1183_R3397
SAMN02265385	SRR943357
SAMN02265386	SRR943358
0_UMARY_1104	SRR5589078
0_SH-04-21_SH-04-21	SRR5588900
AN16115	AN16115_BA17
GTEX-NL4W	SRR604456
0_UMARY_1114	SRR5589084
CGND-HDA-00190-b38	HRA_00085
Br1163	R3986
0_UMARY-5171_UMARY-5171	SRR5589331
0_UMARY-1410_UMARY-1410	SRR5589129
AN01093	AN01093_BA7
AN17425	AN17425_ba9_31
ROS21001807	378_120503
0_UMARY_1028	SRR5589066
Br1936	CMC_HBCC_RNA_PFC_3359
SAMN04901137	SRR3438559
SAMN04901138	SRR3438560
SAMN02999518	SRR2071346
SAMN04901135	SRR3438557
SAMN04901136	SRR3438558
SAMN04901133	SRR3438555
SAMN04901134	SRR3438556
SAMN04901131	SRR3438661
SAMN02999522	SRR2071350
SAMN02999523	SRR2071351
1105	1105_TCX
1104	1104_TCX
1103	1103_TCX
SAMN04901148	SRR3438578
SAMN04901149	SRR3438580
SAMN04901146	SRR3438574
SAMN04901147	SRR3438576
SAMN04901145	SRR3438572
GTEX-12WSF	SRR1416477
71701	hB_RNA_8665
SAMN00632232	SRR306838
71702	BM_22_36
GTEX-12WSH	SRR1348360
GTEX-12WSE	SRR1455925
1121	1121_TCX
GTEX-12WSA	SRR1396078
0_UMARY-5077_UMARY-5077	SRR5589308
SAMN04901151	SRR3438584
GTEX-WVLH	SRR814967
0_JHU_384	SRR5605666
AN09730	AN09730_BA7
SAMN04901152	SRR3438586
SAMN04901150	SRR3438582
GTEX-12WS9	SRR1335707
1114	1114_TCX
SAMN04901159	SRR3438600
SAMN04901157	SRR3438596
SAMN04901158	SRR3438598
Br1909	Br1909_R4038
SAMN04901155	SRR3438592
SAMN04901156	SRR3438594
SAMN04901153	SRR3438588
SAMN04901154	SRR3438590
1119	1119_TCX
71712	hB_RNA_7805
71713	hB_RNA_13228
71710	BM_36_492
71711	hB_RNA_8315
Br1901	R4036
SAMN04901162	SRR3438834
1129	1129_TCX
SAMN04901163	SRR3438829
SAMN04901160	SRR3438608
SAMN04901161	SRR3438610
6819	6819_TCX
AN10723	AN10723_ba41_42_22
1123	1123_TCX
6810	6810_TCX
71709	hB_RNA_8645
SAMN04901168	SRR3438837
SAMN04901169	SRR3438838
71708	BM_22_57
SAMN04901166	SRR3438835
71705	BM_36_390
SAMN04901167	SRR3438836
71706	hB_RNA_5161
SAMN04901164	SRR3438830
SAMN04901165	SRR3438831
71704	hB_RNA_5151
71723	BM_22_148
71724	hB_RNA_10802
71721	hB_RNA_8105
SAMN00668209	SRR309142
71720	hB_RNA_10712
SAMN00668208	SRR309140
SAMN00668207	SRR309138
ROS79590778	803_130701
GTEX-13IVO	SRR1413522
1137	1137_TCX
6821	6821_TCX
71719	hB_RNA_4331
71716	BM_36_419
0_UMARY_1076	SRR5589069
CGND-HDA-00200-b38	HRA_00095
0_UMARY_1079	SRR5589074
71715	BM_22_53
0_UMARY_1078	SRR5589070
71735	BM_22_183
71732	BM_10_594
71733	hB_RNA_10332
SAMN04901108	SRR3438616
71730	hB_RNA_4361
SAMN04901109	SRR3438618
SAMN04901106	SRR3438612
SAMN04901107	SRR3438614
0_UMARY-4228_UMARY-4228	SRR5589246
SAMN04901104	SRR3438604
SAMN04901105	SRR3438606
71729	BM_10_729
71727	hB_RNA_10942
71728	hB_RNA_4351
71725	hB_RNA_8285
GTEX-12WSM	SRR1343841
71726	hB_RNA_17135
0_UMARY-1323_UMARY-1323	SRR5605679
SAMN02999533	SRR2071361
71745	BM_22_132
SAMN02999532	SRR2071360
71746	BM_10_716
SAMN02999535	SRR2071363
GTEX-11TTK	SRR1352954
SAMN02999534	SRR2071362
SAMN04901119	SRR3438638
71741	BM_36_393
71742	hB_RNA_16295
SAMN04901117	SRR3438634
SAMN02999531	SRR1554548
SAMN04901118	SRR3438636
SAMN02999530	SRR2071358
71740	hB_RNA_13571
0_MSSM_95	MSSM_RNA_PFC_95
0_MSSM_96	MSSM_RNA_PFC_96
0_MSSM_97	MSSM_RNA_PFC_97
0_MSSM_98	MSSM_RNA_PFC_98
0_MSSM_91	MSSM_RNA_PFC_91
0_MSSM_92	MSSM_RNA_PFC_92
SAMN04901115	SRR3438630
SAMN04901116	SRR3438632
SAMN04901113	SRR3438626
SAMN04901114	SRR3438628
SAMN04901111	SRR3438622
SAMN02999537	SRR1554554
71738	BM_22_96
SAMN04901112	SRR3438624
SAMN02999536	SRR2071364
71739	BM_22_255
SAMN02999539	SRR2071367
SAMN02999538	SRR1554555
71737	BM_22_47
SAMN02999544	SRR2071372
71756	hB_RNA_4442
SAMN02999543	SRR1554560
71757	BM_10_680
SAMN02999546	SRR2071374
SAMN02999545	SRR2071373
71755	hB_RNA_9105
SAMN02999540	SRR1554557
71752	hB_RNA_12944
6863	6863_TCX
71750	BM_22_150
SAMN02999541	SRR2071369
SAMN04901129	SRR3438658
71751	hB_RNA_12762
1172	1172_TCX
0_MSSM_89	MSSM_RNA_PFC_89
0_MSSM_84	MSSM_RNA_PFC_84
0_MSSM_87	MSSM_RNA_PFC_87
0_MSSM_80	MSSM_RNA_PFC_80
0_MSSM_81	MSSM_RNA_PFC_81
1166	1166_TCX
SAMN04901126	SRR3438652
0_UMARY_1064	SRR5589067
SAMN02999548	SRR2071376
71749	BM_10_709
SAMN02999547	SRR2071375
71747	hB_RNA_4389
SAMN00668210	SRR309144
SAMN03651525	SRR2015784
SAMN03651526	SRR2015785
6870	6870_TCX
SAMN03651528	SRR2015714
SAMN03651529	SRR2015715
6872	6872_TCX
SAMN03651520	SRR2015779
SAMN03651521	SRR2015780
1183	1183_TCX
SAMN03651522	SRR2015781
SAMN03651523	SRR2015782
SAMN03651524	SRR2015783
0_PITT_1734	PITT_RNA_PFC_1734
AN07176	AN07176_BA7
SAMN03651536	SRR2015722
0_SH-97-19_SH-97-19	SRR5588961
AN00544	AN00544_BA17
SAMN03651539	SRR2015725
6880	6880_TCX
1195	1195_TCX
0_UMARY-1675_UMARY-1675	SRR5589186
SAMN03651503	SRR2015762
SAMN03651504	SRR2015763
SAMN03651505	SRR2015764
SAMN04209751	SRR2816104
SAMN03651507	SRR2015774
6894	6894_TCX
SAMN03651508	SRR2015765
SAMN03651509	SRR2015766
SAMN04209754	SRR2816107
SAMN04209755	SRR2816108
Br1995	Br1995_R4075
Br1998	Br1998_R4049
Br1992	R5739
SAMN03651500	SRR2015759
SAMN03651501	SRR2015760
SAMN03651502	SRR2015761
SAMN02388201	SRR1035125
0_PITT_1712	PITT_RNA_PFC_1712
SAMN04209756	SRR2816109
SAMN04209758	SRR2816111
ROS15738428	128_120419
SAMN04209759	SRR2816112
2015-350	2015-350
SAMN03651514	SRR2015771
SAMN03651516	SRR2015775
2015-354	2015-354
SAMN03651518	SRR2015777
2015-353	2015-353
SAMN04209742	SRR2816095
SAMN03651519	SRR2015778
SAMN04209743	SRR2816096
2015-351	2015-351
SAMN04209744	SRR2816097
Br1984	R5614
Br1987	Br1987_R4048
2015-355	2015-355
Br1980	Br1980_R4047
SAMN03651511	SRR2015768
SAMN03651512	SRR2015769
SAMN03651513	SRR2015770
SAMN04209745	SRR2816098
SAMN04209746	SRR2816099
GTEX-ZVZQ	SRR1453851
0_UMARY_1903	SRR5589225
0_UMARY_1902	SRR5589224
0_UMARY_1907	SRR5589228
0_UMARY_1909	SRR5589230
SAMN04901174	SRR3438843
0_SH-95-02_SH-95-02	SRR5588941
SAMN04901170	SRR3438839
SAMN04901179	SRR3438848
SAMN04901177	SRR3438846
0_SH-96-44_SH-96-44	SRR5588955
SAMN04901175	SRR3438844
Br1966	Br1966_R4256
0_SH-98-32_SH-98-32	SRR5588970
0_UMARY_1917	SRR5589233
Br1961	Br1961_R4251
Br1960	Br1960_R4044
SAMN04901185	SRR3438854
0_UMARY-1442_UMARY-1442	SRR5589133
SAMN04901181	SRR3438850
SAMN04901188	SRR3438857
SAMN04901189	SRR3438858
SAMN04901186	SRR3438855
Br1958	Br1958_R5611
CGND-HDA-00567-b38	HRA_00681
CGND-HDA-01310-b38	HRA_00296
SAMN04209714	SRR2815998
Br1947	CMC_HBCC_RNA_PFC_3291
Br1946	Br1946_R5608
SAMN04209709	SRR2815993
0_UMARY-5119_UMARY-5119	SRR5589325
SAMN04209705	SRR2815989
SAMN04209706	SRR2815990
SAMN04209707	SRR2815991
SAMN04209708	SRR2815992
GTEX-13RTJ	SRR1386708
GTEX-ZF28	SRR1336292
0_UMARY-1429_UMARY-1429	SRR5589130
SAMN03651484	SRR2015744
SAMN03651485	SRR2015745
0_UMARY_1825	SRR5589201
SAMN03651487	SRR2015747
0_UMARY_1827	SRR5589202
AN00493	AN00493_BA7
SAMN03651489	SRR2015749
SAMN06484434	SRR5319471
0_PITT_1691	PITT_RNA_PFC_1691
0_UMARY-165_UMARY-165	SRR5605693
Br2337	Br2337_R6574
SAMN03651496	SRR2015755
SAMN03651498	SRR2015757
SAMN03651499	SRR2015758
SAMN03651490	SRR2015750
SAMN03651493	SRR2015752
GTEX-13112	SRR1316297
GTEX-13S7M	SRR1388378
AN12457	AN12457_BA17
GTEX-ZVT3	SRR1440962
GTEX-1313W	SRR1354446
0_UMARY-1101_UMARY-1101	SRR5589077
0_SH-07-04_SH-07-04	SRR5588913
0_SH-98-23_SH-98-23	SRR5588968
SAMN06484423	SRR5319482
0_UMARY_1862	SRR5589220
0_UMARY_1866	SRR5589223
0_UMARY_1865	SRR5589221
0_Pitt_BP_1695	PITT_RNA_BP_PFC_1695
0_SH-96-35_SH-96-35	SRR5588952
SAMN04209762	SRR2816115
SAMN04209764	SRR2816117
0_UMARY_4903	SRR5589294
0_UMARY-4638_UMARY-4638	SRR5589261
0_UMARY_1847	SRR5589210
0_UMARY_1849	SRR5589212
0_UMARY-305_UMARY-305	SRR5605708
0_PITT_1635	PITT_RNA_PFC_1635
MAP89164957	302_120430
0_SH-05-16_SH-05-16	SRR5588902
Br1092	Br1092_R3765
0_SH-05-36_SH-05-36	SRR5588903
0_UMARY-1794_UMARY-1794	SRR5589193
0_UMARY_4915	SRR5589298
SAMN02213475	SRR921945
0_UMARY_4916	SRR5589300
SAMN02213470	SRR921939
CGND-HDA-00558-b38	HRA_00193
SAMN02213477	SRR921943
2014-2201	2014-2201
AN15566	AN15566_BA38
0_UMARY-1441_UMARY-1441	SRR5605687
71679	BM_36_465
71677	BM_10_582
71675	BM_36_349
71673	BM_10_571
0_UMARY_4924	SRR5589302
71674	BM_10_677
SAMN02213461	SRR921949
0_SH-06-66_SH-06-66	SRR5588911
Br2394	Br2394_R5779
Br2396	Br2396_R5783
SAMN02213469	SRR921937
SAMN04901203	SRR3438720
SAMN04901204	SRR3438721
SAMN04901201	SRR3438718
SAMN04901202	SRR3438719
SAMN04901200	SRR3438717
71688	hB_RNA_4697
71689	BM_10_670
71686	BM_10_652
71684	hB_RNA_9179
71685	hB_RNA_11042
0_Pitt_BP_1603	PITT_RNA_BP_PFC_1603
0_Pitt_BP_1605	PITT_RNA_BP_PFC_1605
SAMN02213457	SRR921941
SAMN02213455	SRR921935
71699	BM_22_38
71697	BM_22_120
71698	BM_36_370
71691	BM_36_362
AN09714	AN09714_BA38
71692	hB_RNA_9186
71690	hB_RNA_16355
CGND-HDA-00541-b38	HRA_00569
0_SH-01-37_SH-01-37	SRR5588888
Br1034	Br1034_R3395
Br1033	Br1033_R3063
GTEX-RNOR	SRR1349056
Br1023	Br1023_R3489
0_Pitt_BP_1637	PITT_RNA_BP_PFC_1637
1200	1200_TCX
71800	hB_RNA_9216
71801	BM_36_493
AN07444	AN07444_ba41_42_22
1214	1214_TCX
MAP46251007	405_120503
71811	hB_RNA_8775
71812	hB_RNA_8215
AN19442	AN19442_BA7
AN15088	AN15088_BA7
AN08792	AN08792_BA17
71808	hB_RNA_17025
71806	hB_RNA_9218
SAMN05163573	SRR3627972
6913	6913_TCX
71804	hB_RNA_8745
SAMN05163572	SRR3627971
UMB4842	UMB4842_ba9
SAMN05163571	SRR3628388
71802	hB_RNA_9045
SAMN05163570	SRR3628383
6914	6914_TCX
71803	BM_22_133
SAMN06445889	SRR5283067
1239	1239_TCX
6929	6929_TCX
71815	hB_RNA_9222
71816	hB_RNA_10782
71813	BM_10_738
6925	6925_TCX
71814	hB_RNA_12262
71833	hB_RNA_9035
71834	hB_RNA_4674
71832	BM_10_609
71830	hB_RNA_17115
0_SH-95-34_SH-95-34	SRR5588947
71826	hB_RNA_10567
71827	hB_RNA_13210
71824	BM_36_384
71825	hB_RNA_10832
0_Pitt_BP_716	PITT_RNA_BP_PFC_716
SAMN04901218	SRR3438737
71841	hB_RNA_9215
GTEX-12ZZZ	SRR1405007
GTEX-12ZZW	SRR1354734
GTEX-12ZZY	SRR1368772
SAMN04901212	SRR3438729
71839	BM_36_509
SAMN04901213	SRR3438730
SAMN04901210	SRR3438727
SAMN04901211	SRR3438728
71838	BM_36_382
71836	hB_RNA_17085
71855	BM_10_743
71853	hB_RNA_13518
71851	BM_36_305
71852	hB_RNA_13444
71850	BM_22_69
1275	1275_TCX
SAMN02388199	SRR1033612
0_UMARY-5089_UMARY-5089	SRR5605718
6952	6952_TCX
71848	BM_22_262
71847	BM_22_189
0_SH-01-31_SH-01-31	SRR5588887
71865	hB_RNA_8265
71862	hB_RNA_4981
71863	BM_22_89
71860	hB_RNA_13649
0_SH-04-19_SH-04-19	SRR5588897
SAMN06830458	SRR5850225
71859	hB_RNA_12484
71858	hB_RNA_4746
71877	BM_10_621
0_UMARY-4591_UMARY-4591	SRR5605711
GTEX-T2IS	SRR660626
0_UMARY-818_UMARY-818	SRR5589357
71871	hB_RNA_8575
SAMN06830468	SRR5850229
0_PITT_1189	PITT_RNA_PFC_1189
0_PITT_1188	PITT_RNA_PFC_1188
6976	6976_TCX
71868	hB_RNA_16695
70539	hB_RNA_4341
SAMN03015190	SRR1562544
Br1416	Br1416_R3616
11340	11340_TCX
Br1412	Br1412_R4196
GTEX-ZE7O	SRR1415234
Br1414	R2858
SAMN03015193	SRR1562547
SAMN03015192	SRR1562546
SAMN03015194	SRR1562548
11349	11349_TCX
SAMEA3931520	ERR1363336
11341	11341_TCX
SAMEA3931529	ERR1363345
11344	11344_TCX
11346	11346_TCX
11345	11345_TCX
AN03935	AN03935_ba41_42_22
Br1409	Br1409_R4054
Br1404	R3933
76655	BM_36_338
11353	11353_TCX
11355	11355_TCX
11357	11357_TCX
11358	11358_TCX
0_PITT_581	PITT_RNA_PFC_581
0_UMARY-1406_UMARY-1406	SRR5589126
11328	11328_TCX
11327	11327_TCX
11329	11329_TCX
ROS15114174	121_120418
GTEX-ZDXO	SRR1416999
GTEX-S7SE	SRR661349
CGND-HDA-01327-b38	HRA_00418
11320	11320_TCX
11322	11322_TCX
11321	11321_TCX
11323	11323_TCX
11325	11325_TCX
CGND-HDA-01318-b38	HRA_00362
CGND-HDA-00195-b38	HRA_00062
0_PENN_101	PENN_RNA_PFC_101
0_PENN_100	PENN_RNA_PFC_100
11338	11338_TCX
0_PENN_109	PENN_RNA_PFC_109
11331	11331_TCX
0_PENN_108	PENN_RNA_PFC_108
11330	11330_TCX
0_PENN_107	PENN_RNA_PFC_107
11333	11333_TCX
0_PENN_106	PENN_RNA_PFC_106
0_PENN_105	PENN_RNA_PFC_105
0_PENN_104	PENN_RNA_PFC_104
11334	11334_TCX
0_PENN_103	PENN_RNA_PFC_103
11337	11337_TCX
CGND-HDA-00553-b38	HRA_00551
11306	11306_TCX
11305	11305_TCX
11307	11307_TCX
0_SH-97-46_SH-97-46	SRR5588964
11309	11309_TCX
SAMEA3931560	ERR1363376
11300	11300_TCX
11303	11303_TCX
SAMN05364494	SRR3749336
0_SH-99-44_SH-99-44	SRR5588979
SAMN02721534	SRR1222686
11317	11317_TCX
11316	11316_TCX
11319	11319_TCX
SAMEA3931551	ERR1363367
11313	11313_TCX
11312	11312_TCX
11314	11314_TCX
MAP50104846	34_120416
SAMEA3931544	ERR1363360
GTEX-11WQK	SRR1360128
0_Pitt_BP_789	PITT_RNA_BP_PFC_789
GTEX-Y111	SRR1439807
GTEX-ZV68	SRR1476571
0_Pitt_BP_795	PITT_RNA_BP_PFC_795
SAMEA3931536	ERR1363352
Br1379	Br1379_R3627
Br1378	Br1378_R2897
UMB5242	UMB5242_ba9
SAMN04565572	SRR3233973
0_UMARY-4781_UMARY-4781	SRR5589285
SM-CJFPF	508_120515
SM-CJFPE	683_120604
2015-893	2015-893
2015-891	2015-891
SAMN04565587	SRR3233988
2015-895	2015-895
2015-894	2015-894
0_PITT_533	PITT_RNA_PFC_533
11281	11281_TCX
2015-860	2015-860
11285	11285_TCX
2015-864	2015-864
2015-863	2015-863
SM-CJFNY	257_120426
2015-862	2015-862
SM-CJFNV	799_130701
SM-CJFO7	595_120522
2015-861	2015-861
SM-CJFO5	449_120507
Br1356	Br1356_R3385
SM-CJFO3	710_120531
SM-CJFNR	15_120410
2015-865	2015-865
SM-CJFNS	797_130701
Br1350	CMC_HBCC_RNA_PFC_3106
Br1351	Br1351_R3932
SM-CJFNL	824_130725
SM-CJFNM	821_130725
SM-CJFNJ	392_120503
SM-CJFNK	616_120524
11287	11287_TCX
SM-CJFNF	656_120529
11288	11288_TCX
SM-CJFNB	53_120417
11290	11290_TCX
11291	11291_TCX
11294	11294_TCX
11295	11295_TCX
SM-CJFP6	427_120507
SM-CJFP7	939_131101
SM-CJFP4	707_120531
SM-CJFOS	938_131101
SM-CJFOQ	695_120605
SM-CJFOR	881_130918
SM-CJFOP	665_120530
SM-CJFON	715_120531
11298	11298_TCX
SM-CJFOI	674_120530
SM-CJFOH	666_120530
SM-CJFOF	668_120530
11263	11263_TCX
0_PITT_566	PITT_RNA_PFC_566
11265	11265_TCX
11264	11264_TCX
11267	11267_TCX
11266	11266_TCX
11271	11271_TCX
GTEX-YJ89	SRR1470703
0_UMARY-1539_UMARY-1539	SRR5605692
SM-CJFN8	618_120524
SM-CJFN9	523_120515
SM-CJFN6	102_120418
SM-CJFMV	722_120531
2015-857	2015-857
2015-856	2015-856
SM-CJFN5	599_120523
SM-CJFN3	568_120521
2015-858	2015-858
11276	11276_TCX
11275	11275_TCX
0_UMARY-634_UMARY-634	SRR5605728
11279	11279_TCX
0_PITT_539	PITT_RNA_PFC_539
0_SH-98-27_SH-98-27	SRR5588969
CGND-HDA-00548-b38	HRA_00604
11249	11249_TCX
0_PITT_551	PITT_RNA_PFC_551
Br1304	Br1304_R3479
MAP15387421	630_120524
0_PITT_546	PITT_RNA_PFC_546
11254	11254_TCX
11253	11253_TCX
11255	11255_TCX
11258	11258_TCX
11259	11259_TCX
71767	hB_RNA_16495
71768	hB_RNA_13631
71765	BM_22_167
71763	hB_RNA_4461
71764	hB_RNA_4474
AN13295	AN13295_ba41_42_22_89
71762	BM_10_619
0_Pitt_BP_1770	PITT_RNA_BP_PFC_1770
71760	BM_36_394
2015-802	2015-802
2015-806	2015-806
2015-805	2015-805
2015-803	2015-803
2015-809	2015-809
2015-808	2015-808
2015-807	2015-807
0_PITT_1173	PITT_RNA_PFC_1173
71778	hB_RNA_4521
71779	BM_36_491
71775	hB_RNA_4520
71773	hB_RNA_9168
71770	hB_RNA_12454
71771	hB_RNA_8445
0_Pitt_BP_1783	PITT_RNA_BP_PFC_1783
2015-812	2015-812
2015-810	2015-810
0_SH-97-14_SH-97-14	SRR5588958
ROS21112011	335_120501
71769	hB_RNA_16015
71789	hB_RNA_11112
71787	BM_36_308
71783	BM_36_499
71784	hB_RNA_4531
71782	hB_RNA_16805
71780	hB_RNA_12704
0_Pitt_BP_1789	PITT_RNA_BP_PFC_1789
GTEX-14753	SRR1457503
71799	BM_22_32
71797	hB_RNA_4565
71794	hB_RNA_10472
71795	hB_RNA_8865
71792	hB_RNA_16995
70460	hB_RNA_9163
71793	hB_RNA_8155
71791	hB_RNA_13406
0_UMARY-1789_UMARY-1789	SRR5589191
0_SH-97-37_SH-97-37	SRR5588963
0_SH-06-25_SH-06-25	SRR5588909
0_UMARY-251_UMARY-251	SRR5589236
CGND-HDA-00535-b38	HRA_00559
CGND-HDA-01314-b38	HRA_00328
70485	BM_10_773
1302	1302_TCX
0_PITT_1122	PITT_RNA_PFC_1122
0_UMARY_1326	SRR5589115
70490	hB_RNA_9214
Br1389	Br1389_R3374
Br1384	CMC_HBCC_RNA_PFC_3091
