RnaID	RNADataset	GenotypeQuery	Reason
Br1370_R3419	Brainseq	Brainseq	Br1370	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
Br2397_R5785	Brainseq	Brainseq	Br2397	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
Br1779_R3425	Brainseq	Brainseq	Br1779	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
Br1878_R4704	Brainseq	Brainseq	Br1878	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_h650\LIBD_h650.genome-pihat0.125.txt
Br1623_R3578	Brainseq	Brainseq	Br1623	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
Br2026_R5599	Brainseq	Brainseq	Br2026	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
Br826_R3573	Brainseq	Brainseq	Br826	GenotypeID not found
Br906_R3574	Brainseq	Brainseq	Br906	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_h650\LIBD_h650.genome-pihat0.125.txt
Br1977_R4260	Brainseq	Brainseq	Br1977	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
Br1016_R3670	Brainseq	Brainseq	Br1016	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
Br1684_R2827	Brainseq	Brainseq	Br1684	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
Br1425_R3541	Brainseq	Brainseq	Br1425	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
Br1682_R2831	Brainseq	Brainseq	Br1682	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
Br1093_R3994	Brainseq	Brainseq	Br1093	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\LIBD_1M\LIBD_1M.genome-pihat0.125.txt
CMC_HBCC_RNA_PFC_3207	PsychEncode	CMC_HBCC	CMC_HBCC_075	GenotypeID not found
CMC_HBCC_RNA_PFC_3402	PsychEncode	CMC_HBCC	CMC_HBCC_083	GenotypeID not found
CMC_HBCC_RNA_PFC_3208	PsychEncode	CMC_HBCC	CMC_HBCC_030	GenotypeID not found
CMC_HBCC_RNA_PFC_3092	PsychEncode	CMC_HBCC	CMC_HBCC_289	GenotypeID not found
CMC_HBCC_RNA_PFC_3090	PsychEncode	CMC_HBCC	CMC_HBCC_310	GenotypeID not found
CMC_HBCC_RNA_PFC_3413	PsychEncode	CMC_HBCC	CMC_HBCC_406	GenotypeID not found
CMC_HBCC_RNA_PFC_3104	PsychEncode	CMC_HBCC	CMC_HBCC_146	GenotypeID not found
CMC_HBCC_RNA_PFC_3079	PsychEncode	CMC_HBCC	CMC_HBCC_130	GenotypeID not found
CMC_HBCC_RNA_PFC_3588	PsychEncode	CMC_HBCC	CMC_HBCC_408	GenotypeID not found
CMC_HBCC_RNA_PFC_3203	PsychEncode	CMC_HBCC	CMC_HBCC_328	GenotypeID not found
CMC_HBCC_RNA_PFC_3295	PsychEncode	CMC_HBCC	CMC_HBCC_287	GenotypeID not found
CMC_HBCC_RNA_PFC_3055	PsychEncode	CMC_HBCC	CMC_HBCC_291	GenotypeID not found
CMC_HBCC_RNA_PFC_3873	PsychEncode	CMC_HBCC	CMC_HBCC_180	GenotypeID not found
CMC_HBCC_RNA_PFC_3586	PsychEncode	CMC_HBCC	CMC_HBCC_420	GenotypeID not found
CMC_HBCC_RNA_PFC_3249	PsychEncode	CMC_HBCC	CMC_HBCC_369	GenotypeID not found
CMC_HBCC_RNA_PFC_3141	PsychEncode	CMC_HBCC	CMC_HBCC_295	GenotypeID not found
CMC_HBCC_RNA_PFC_3126	PsychEncode	CMC_HBCC	CMC_HBCC_327	GenotypeID not found
CMC_HBCC_RNA_PFC_3370	PsychEncode	CMC_HBCC	CMC_HBCC_081	GenotypeID not found
CMC_HBCC_RNA_PFC_2964	PsychEncode	CMC_HBCC	CMC_HBCC_271	GenotypeID not found
CMC_HBCC_RNA_PFC_3347	PsychEncode	CMC_HBCC	CMC_HBCC_419	GenotypeID not found
CMC_HBCC_RNA_PFC_3921	PsychEncode	CMC_HBCC	CMC_HBCC_115	GenotypeID not found
CMC_HBCC_RNA_PFC_3156	PsychEncode	CMC_HBCC	CMC_HBCC_041	GenotypeID not found
CMC_HBCC_RNA_PFC_3876	PsychEncode	CMC_HBCC	CMC_HBCC_136	GenotypeID not found
CMC_HBCC_RNA_PFC_3914	PsychEncode	CMC_HBCC	CMC_HBCC_009	GenotypeID not found
CMC_HBCC_RNA_PFC_3094	PsychEncode	CMC_HBCC	CMC_HBCC_303	GenotypeID not found
CMC_HBCC_RNA_PFC_2946	PsychEncode	CMC_HBCC	CMC_HBCC_345	GenotypeID not found
CMC_HBCC_RNA_PFC_3112	PsychEncode	CMC_HBCC	CMC_HBCC_336	GenotypeID not found
CMC_HBCC_RNA_PFC_3383	PsychEncode	CMC_HBCC	CMC_HBCC_079	GenotypeID not found
CMC_HBCC_RNA_PFC_3351	PsychEncode	CMC_HBCC	CMC_HBCC_413	GenotypeID not found
CMC_HBCC_RNA_PFC_3205	PsychEncode	CMC_HBCC	CMC_HBCC_288	GenotypeID not found
CMC_HBCC_RNA_PFC_3397	PsychEncode	CMC_HBCC	CMC_HBCC_330	GenotypeID not found
CMC_HBCC_RNA_PFC_3246	PsychEncode	CMC_HBCC	CMC_HBCC_225	GenotypeID not found
CMC_HBCC_RNA_PFC_3233	PsychEncode	CMC_HBCC	CMC_HBCC_417	GenotypeID not found
CMC_HBCC_RNA_PFC_3056	PsychEncode	CMC_HBCC	CMC_HBCC_195	GenotypeID not found
CMC_HBCC_RNA_PFC_3348	PsychEncode	CMC_HBCC	CMC_HBCC_399	GenotypeID not found
CMC_HBCC_RNA_PFC_3152	PsychEncode	CMC_HBCC	CMC_HBCC_005	GenotypeID not found
CMC_HBCC_RNA_PFC_3290	PsychEncode	CMC_HBCC	CMC_HBCC_409	GenotypeID not found
CMC_HBCC_RNA_PFC_3124	PsychEncode	CMC_HBCC	CMC_HBCC_293	GenotypeID not found
CMC_HBCC_RNA_PFC_3567	PsychEncode	CMC_HBCC	CMC_HBCC_415	GenotypeID not found
CMC_HBCC_RNA_PFC_2940	PsychEncode	CMC_HBCC	CMC_HBCC_185	GenotypeID not found
CMC_HBCC_RNA_PFC_3140	PsychEncode	CMC_HBCC	CMC_HBCC_249	GenotypeID not found
CMC_HBCC_RNA_PFC_3144	PsychEncode	CMC_HBCC	CMC_HBCC_337	GenotypeID not found
CMC_HBCC_RNA_PFC_2974	PsychEncode	CMC_HBCC	CMC_HBCC_248	GenotypeID not found
CMC_HBCC_RNA_PFC_3197	PsychEncode	CMC_HBCC	CMC_HBCC_047	GenotypeID not found
CMC_HBCC_RNA_PFC_3184	PsychEncode	CMC_HBCC	CMC_HBCC_069	GenotypeID not found
CMC_HBCC_RNA_PFC_3146	PsychEncode	CMC_HBCC	CMC_HBCC_307	GenotypeID not found
CMC_HBCC_RNA_PFC_3121	PsychEncode	CMC_HBCC	CMC_HBCC_296	GenotypeID not found
CMC_HBCC_RNA_PFC_3425	PsychEncode	CMC_HBCC	CMC_HBCC_397	GenotypeID not found
CMC_HBCC_RNA_PFC_3194	PsychEncode	CMC_HBCC	CMC_HBCC_012	GenotypeID not found
CMC_HBCC_RNA_PFC_3437	PsychEncode	CMC_HBCC	CMC_HBCC_401	GenotypeID not found
CMC_HBCC_RNA_PFC_3865	PsychEncode	CMC_HBCC	CMC_HBCC_163	GenotypeID not found
CMC_HBCC_RNA_PFC_3396	PsychEncode	CMC_HBCC	CMC_HBCC_035	GenotypeID not found
CMC_HBCC_RNA_PFC_3456	PsychEncode	CMC_HBCC	CMC_HBCC_421	GenotypeID not found
CMC_HBCC_RNA_PFC_3187	PsychEncode	CMC_HBCC	CMC_HBCC_290	GenotypeID not found
CMC_HBCC_RNA_PFC_3206	PsychEncode	CMC_HBCC	CMC_HBCC_036	GenotypeID not found
CMC_HBCC_RNA_PFC_3070	PsychEncode	CMC_HBCC	CMC_HBCC_137	GenotypeID not found
CMC_HBCC_RNA_PFC_3435	PsychEncode	CMC_HBCC	CMC_HBCC_400	GenotypeID not found
CMC_HBCC_RNA_PFC_3595	PsychEncode	CMC_HBCC	CMC_HBCC_392	GenotypeID not found
CMC_HBCC_RNA_PFC_3114	PsychEncode	CMC_HBCC	CMC_HBCC_292	GenotypeID not found
CMC_HBCC_RNA_PFC_3139	PsychEncode	CMC_HBCC	CMC_HBCC_231	GenotypeID not found
CMC_HBCC_RNA_PFC_3519	PsychEncode	CMC_HBCC	CMC_HBCC_434	GenotypeID not found
CMC_HBCC_RNA_PFC_3006	PsychEncode	CMC_HBCC	CMC_HBCC_387	GenotypeID not found
CMC_HBCC_RNA_PFC_3502	PsychEncode	CMC_HBCC	CMC_HBCC_445	GenotypeID not found
CMC_HBCC_RNA_PFC_3879	PsychEncode	CMC_HBCC	CMC_HBCC_266	GenotypeID not found
CMC_HBCC_RNA_PFC_3202	PsychEncode	CMC_HBCC	CMC_HBCC_313	GenotypeID not found
CMC_HBCC_RNA_PFC_3129	PsychEncode	CMC_HBCC	CMC_HBCC_308	GenotypeID not found
CMC_HBCC_RNA_PFC_3427	PsychEncode	CMC_HBCC	CMC_HBCC_403	GenotypeID not found
CMC_HBCC_RNA_PFC_3117	PsychEncode	CMC_HBCC	CMC_HBCC_305	GenotypeID not found
CMC_HBCC_RNA_PFC_3130	PsychEncode	CMC_HBCC	CMC_HBCC_192	GenotypeID not found
CMC_HBCC_RNA_PFC_2980	PsychEncode	CMC_HBCC	CMC_HBCC_359	GenotypeID not found
CMC_HBCC_RNA_PFC_3243	PsychEncode	CMC_HBCC	CMC_HBCC_360	GenotypeID not found
CMC_HBCC_RNA_PFC_3086	PsychEncode	CMC_HBCC	CMC_HBCC_298	GenotypeID not found
CMC_HBCC_RNA_PFC_3123	PsychEncode	CMC_HBCC	CMC_HBCC_299	GenotypeID not found
CMC_HBCC_RNA_PFC_3367	PsychEncode	CMC_HBCC	CMC_HBCC_340	GenotypeID not found
CMC_HBCC_RNA_PFC_3135	PsychEncode	CMC_HBCC	CMC_HBCC_294	GenotypeID not found
CMC_HBCC_RNA_PFC_3369	PsychEncode	CMC_HBCC	CMC_HBCC_309	GenotypeID not found
CMC_HBCC_RNA_PFC_3224	PsychEncode	CMC_HBCC	CMC_HBCC_168	GenotypeID not found
CMC_HBCC_RNA_PFC_3148	PsychEncode	CMC_HBCC	CMC_HBCC_302	GenotypeID not found
CMC_HBCC_RNA_PFC_3084	PsychEncode	CMC_HBCC	CMC_HBCC_331	GenotypeID not found
MSSM_RNA_PFC_353	CMC	MSSM	MSSM_353	GenotypeID not found
MSSM_RNA_PFC_268	CMC	MSSM	MSSM_268	GenotypeID not found
MSSM_RNA_PFC_29	CMC	MSSM	MSSM_29	GenotypeID not found
SRR1033613	ENA	PRJNA229824	SAMN02388200	GenotypeID not found
SRR1033621	ENA	PRJNA229824	SAMN02388202	GenotypeID not found
SRR897168	ENA	PRJNA208369	SAMN02200093	GenotypeID not found
SRR897180	ENA	PRJNA208369	SAMN02200100	GenotypeID not found
SRR897177	ENA	PRJNA208369	SAMN02200097	GenotypeID not found
SRR897498	ENA	PRJNA208369	SAMN02199884	GenotypeID not found
SRR897495	ENA	PRJNA208369	SAMN02199882	GenotypeID not found
SRR897176	ENA	PRJNA208369	SAMN02200096	GenotypeID not found
SRR897497	ENA	PRJNA208369	SAMN02199881	GenotypeID not found
SRR897175	ENA	PRJNA208369	SAMN02200099	GenotypeID not found
SRR897169	ENA	PRJNA208369	SAMN02200094	GenotypeID not found
SRR897179	ENA	PRJNA208369	SAMN02200098	GenotypeID not found
SRR1004290	ENA	PRJNA222268	SAMN02369560	GenotypeID not found
SRR1004293	ENA	PRJNA222268	SAMN02369567	GenotypeID not found
SRR1004287	ENA	PRJNA222268	SAMN02369559	GenotypeID not found
SRR1004286	ENA	PRJNA222268	SAMN02369564	GenotypeID not found
SRR1004285	ENA	PRJNA222268	SAMN02369558	GenotypeID not found
SRR1004288	ENA	PRJNA222268	SAMN02369561	GenotypeID not found
SRR1004292	ENA	PRJNA222268	SAMN02369562	GenotypeID not found
SRR1004294	ENA	PRJNA222268	SAMN02369565	GenotypeID not found
SRR1004289	ENA	PRJNA222268	SAMN02369563	GenotypeID not found
SRR898171	ENA	PRJNA208369	SAMN02201576	GenotypeID not found
SRR898169	ENA	PRJNA208369	SAMN02201573	GenotypeID not found
SRR898157	ENA	PRJNA208369	SAMN02200674	GenotypeID not found
SRR898163	ENA	PRJNA208369	SAMN02200673	GenotypeID not found
SRR898164	ENA	PRJNA208369	SAMN02201558	GenotypeID not found
SRR898170	ENA	PRJNA208369	SAMN02201574	GenotypeID not found
SRR898168	ENA	PRJNA208369	SAMN02201571	GenotypeID not found
SRR898167	ENA	PRJNA208369	SAMN02201567	GenotypeID not found
SRR898162	ENA	PRJNA208369	SAMN02200677	GenotypeID not found
SRR898172	ENA	PRJNA208369	SAMN02201578	GenotypeID not found
SRR1510133	ENA	PRJNA254971	SAMN02906836	GenotypeID not found
SRR1510130	ENA	PRJNA254971	SAMN02906834	GenotypeID not found
SRR1510126	ENA	PRJNA254971	SAMN02906830	GenotypeID not found
SRR1510128	ENA	PRJNA254971	SAMN02906832	GenotypeID not found
SRR1510134	ENA	PRJNA254971	SAMN02906837	GenotypeID not found
SRR1510132	ENA	PRJNA254971	SAMN02906835	GenotypeID not found
SRR1510125	ENA	PRJNA254971	SAMN02906828	GenotypeID not found
SRR1510127	ENA	PRJNA254971	SAMN02906831	GenotypeID not found
SRR1510124	ENA	PRJNA254971	SAMN02906827	GenotypeID not found
SRR2815974	ENA	PRJNA299472	SAMN04209690	GenotypeID not found
SRR2815972	ENA	PRJNA299472	SAMN04209688	GenotypeID not found
SRR2815977	ENA	PRJNA299472	SAMN04209693	GenotypeID not found
SRR2815975	ENA	PRJNA299472	SAMN04209691	GenotypeID not found
SRR2815971	ENA	PRJNA299472	SAMN04209687	GenotypeID not found
SRR2815970	ENA	PRJNA299472	SAMN04209686	GenotypeID not found
SRR2815973	ENA	PRJNA299472	SAMN04209689	GenotypeID not found
SRR2815969	ENA	PRJNA299472	SAMN04209685	GenotypeID not found
SRR2815979	ENA	PRJNA299472	SAMN04209695	GenotypeID not found
SRR2815978	ENA	PRJNA299472	SAMN04209694	GenotypeID not found
SRR2068781	ENA	PRJNA273171	SAMN03288811	GenotypeID not found
SRR945227	ENA	PRJNA213747	SAMN02297893	GenotypeID not found
SRR945247	ENA	PRJNA213747	SAMN02297891	GenotypeID not found
SRR945245	ENA	PRJNA213747	SAMN02297894	GenotypeID not found
SRR1216030	ENA	PRJNA208369	SAMN02716669	GenotypeID not found
SRR898333	ENA	PRJNA208369	SAMN02202055	GenotypeID not found
SRR1216034	ENA	PRJNA208369	SAMN02716672	GenotypeID not found
SRR898336	ENA	PRJNA208369	SAMN02202059	GenotypeID not found
SRR1216037	ENA	PRJNA208369	SAMN02716673	GenotypeID not found
SRR1216024	ENA	PRJNA208369	SAMN02716670	GenotypeID not found
SRR898330	ENA	PRJNA208369	SAMN02202054	GenotypeID not found
SRR898343	ENA	PRJNA208369	SAMN02202058	GenotypeID not found
SRR898340	ENA	PRJNA208369	SAMN02202057	GenotypeID not found
SRR1216025	ENA	PRJNA208369	SAMN02716671	GenotypeID not found
SRR897538	ENA	PRJNA208369	SAMN02199802	GenotypeID not found
SRR897540	ENA	PRJNA208369	SAMN02199800	GenotypeID not found
SRR897541	ENA	PRJNA208369	SAMN02199804	GenotypeID not found
SRR897546	ENA	PRJNA208369	SAMN02199806	GenotypeID not found
SRR897545	ENA	PRJNA208369	SAMN02199805	GenotypeID not found
SRR897543	ENA	PRJNA208369	SAMN02199803	GenotypeID not found
SRR897539	ENA	PRJNA208369	SAMN02199798	GenotypeID not found
SRR897542	ENA	PRJNA208369	SAMN02199801	GenotypeID not found
SRR897535	ENA	PRJNA208369	SAMN02199797	GenotypeID not found
SRR897537	ENA	PRJNA208369	SAMN02199799	GenotypeID not found
SRR1132110	ENA	PRJNA235930	SAMN02592713	GenotypeID not found
SRR1004312	ENA	PRJNA222268	SAMN02369580	GenotypeID not found
SRR1004314	ENA	PRJNA222268	SAMN02369585	GenotypeID not found
SRR1004301	ENA	PRJNA222268	SAMN02369578	GenotypeID not found
SRR1004309	ENA	PRJNA222268	SAMN02369581	GenotypeID not found
SRR1004308	ENA	PRJNA222268	SAMN02369584	GenotypeID not found
SRR1004306	ENA	PRJNA222268	SAMN02369582	GenotypeID not found
SRR1004307	ENA	PRJNA222268	SAMN02369579	GenotypeID not found
SRR1004316	ENA	PRJNA222268	SAMN02369587	GenotypeID not found
SRR1004310	ENA	PRJNA222268	SAMN02369586	GenotypeID not found
SRR1004311	ENA	PRJNA222268	SAMN02369583	GenotypeID not found
SRR898323	ENA	PRJNA208369	SAMN02201977	GenotypeID not found
SRR898354	ENA	PRJNA208369	SAMN02201980	GenotypeID not found
SRR898351	ENA	PRJNA208369	SAMN02201985	GenotypeID not found
SRR898331	ENA	PRJNA208369	SAMN02201983	GenotypeID not found
SRR898329	ENA	PRJNA208369	SAMN02201982	GenotypeID not found
SRR898322	ENA	PRJNA208369	SAMN02201976	GenotypeID not found
SRR898357	ENA	PRJNA208369	SAMN02201984	GenotypeID not found
SRR898328	ENA	PRJNA208369	SAMN02201981	GenotypeID not found
SRR898326	ENA	PRJNA208369	SAMN02201979	GenotypeID not found
SRR898325	ENA	PRJNA208369	SAMN02201978	GenotypeID not found
SRR1510142	ENA	PRJNA254971	SAMN02906755	GenotypeID not found
SRR1510141	ENA	PRJNA254971	SAMN02906754	GenotypeID not found
SRR1510140	ENA	PRJNA254971	SAMN02906753	GenotypeID not found
SRR1510137	ENA	PRJNA254971	SAMN02906750	GenotypeID not found
SRR1510138	ENA	PRJNA254971	SAMN02906751	GenotypeID not found
SRR1510146	ENA	PRJNA254971	SAMN02906759	GenotypeID not found
SRR1510144	ENA	PRJNA254971	SAMN02906757	GenotypeID not found
SRR1510147	ENA	PRJNA254971	SAMN02906760	GenotypeID not found
SRR1510145	ENA	PRJNA254971	SAMN02906758	GenotypeID not found
