RnaID	GenotypeID	MetaCohort	RNADataset	GenotypeIndividualsDataset
R4365	5533009059_R01C02	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R2959	Br1562	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R4427	5533009080_R01C01	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R4377	5532997168_R01C01	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R5821	5535549071_R01C02	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R4327	5533017075_R01C01	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R5632	Br2083	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R2909	Br1454	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R3882	Br1437	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R5777	5535549072_R01C01	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R3655	Br1749	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R4419	5532971116_R01C01	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R3641	Br1744	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R4425	5533009059_R01C01	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R3620	Br1760	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R2858	Br1414	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R2986	Br1677	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R4288	5511192132_R01C01	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R4379	5532971067_R01C01	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R2799	Br1197	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R4385	5533009029_R01C01	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R5745	Br2269	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R4378	5533009060_R01C02	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R5831	5535549053_R01C02	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R4061	Br1821	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R4358	5535549031_R01C02	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R5739	Br1992	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R4430	5535549031_R01C01	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R5614	Br1984	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R2998	Br1734	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R3933	Br1404	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R4390	5511192117_R01C02	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R3986	Br1163	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
R4293	5511192073_R01C02	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\CMC_HBCC_set2-Individuals.txt
R3976	Br1661	PsychEncode	BipSeq	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Bipseq_1M-Individuals.txt
A653_380	0_022_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_1142	0_015_10_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_012	0_018_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_234	0_032_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_1075	0_015_10_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_631	0_009_07_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_775	0_006_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_211	0_014_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_242	0_001_06_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_430	0_031_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_151	0_025_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_585	0_027_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_1225	0_96_44_1	Braineac	SHRI	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_753	0_029_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_157	0_016_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_335	0_012_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_005	0_017_07_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_1278	0_06_02_1	Braineac	SHRI	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_653	0_018_07_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_112	0_005_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_166	0_007_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_875	0_003_10_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_212	0_012_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_1339	0_92_10_1	Braineac	SHRI	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_092	0_036_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_152	0_018_06_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_623	0_019_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_171	0_040_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_1073	0_95_21_1	Braineac	SHRI	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_041	0_025_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_792	0_028_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_1179	0_06_53_1	Braineac	SHRI	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_985	0_98_34_1	Braineac	SHRI	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_483	0_043_06_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_383	0_026_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_772	0_022_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_108	0_023_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_026	0_037_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_1149	0_08_88_1	Braineac	SHRI	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_916	0_001_10_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_1154	0_09_56_1	Braineac	SHRI	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_434	0_006_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_1304	0_95_27_1	Braineac	SHRI	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_072	0_025_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_1136	0_94_35_1	Braineac	SHRI	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_522	0_030_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_321	0_020_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_202	0_021_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_763	0_034_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_1049	0_95_27_1	Braineac	SHRI	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_932	0_006_10_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_496	0_007_06_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_964	0_010_10_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_034	0_018_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_103	0_026_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_1116	0_021_10_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_813	0_020_07_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_286	0_018_06_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_160	0_036_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_284	0_004_06_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_315	0_009_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_1208	0_96_32_1	Braineac	SHRI	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_238	0_033_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_210	0_022_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_224	0_025_05_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_524	0_032_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_1023	0_00_38_1	Braineac	SHRI	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_627	0_033_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_061	0_033_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_140	0_021_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_876	0_010_10_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_051	0_022_06_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_899	0_004_10_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_1072	0_015_10_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_147	0_009_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_679	0_030_06_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_525	0_034_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_320	0_016_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_636	0_002_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_945	0_002_10_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_395	0_009_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_093	0_004_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_1001	0_98_34_1	Braineac	SHRI	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_055	0_018_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_264	0_018_09_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
A653_044	0_024_08_1	Braineac	EBB	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\Braineac-Individuals.txt
